date,country,cost,cost_type
2023-09-11,Andorra,0.018434966666666667,whisper_price
2023-09-11,Angola,0.06895671065759637,whisper_price
2023-09-11,Argentina,136.78351028032438,whisper_price
2023-09-11,Aruba,0.010988050000000001,whisper_price
2023-09-11,Australia,0.27471925,whisper_price
2023-09-11,Austria,0.0005553499999999999,whisper_price
2023-09-11,Azerbaijan,0.006677066666666667,whisper_price
2023-09-11,Bahamas,0.0020277833333333336,whisper_price
2023-09-11,Belgium,0.014674483333333333,whisper_price
2023-09-11,Belize,0.005533783333333334,whisper_price
2023-09-11,Benin,0.05971675,whisper_price
2023-09-11,Bolivia,3.219196342006803,whisper_price
2023-09-11,Bonaire,0.012086050000000001,whisper_price
2023-09-11,Brazil,8.5557335506661,whisper_price
2023-09-11,British Indian Ocean Territory,0.00522935,whisper_price
2023-09-11,Bulgaria,0.01377735,whisper_price
2023-09-11,Burkina Faso,0.004433833333333333,whisper_price
2023-09-11,Cameroon,0.06971918333333334,whisper_price
2023-09-11,Canada,0.20306767653061225,whisper_price
2023-09-11,Chile,29.881783550632935,whisper_price
2023-09-11,China,0.07607782916666667,whisper_price
2023-09-11,Colombia,26.015695249433104,whisper_price
2023-09-11,Congo,0.10263651768707485,whisper_price
2023-09-11,Costa Rica,2.772657533786848,whisper_price
2023-09-11,Croatia,0.0032746999999999997,whisper_price
2023-09-11,Cuba,0.1173633769132653,whisper_price
2023-09-11,Czechia,0.012815783333333334,whisper_price
2023-09-11,Côte d'Ivoire,0.04222966666666667,whisper_price
2023-09-11,Denmark,0.026705183333333334,whisper_price
2023-09-11,Dominican Republic,1.4963612303854876,whisper_price
2023-09-11,Ecuador,4.028984172534013,whisper_price
2023-09-11,Egypt,0.2433921366213152,whisper_price
2023-09-11,El Salvador,0.47401307191043085,whisper_price
2023-09-11,Equatorial Guinea,0.01565205,whisper_price
2023-09-11,Error: ,6.141494915215986,whisper_price
2023-09-11,Error: 'NoneType' object has no attribute 'name',0.06343235,whisper_price
2023-09-11,Error: (0) Could not interpret numbers after plus-sign.,0.4037816709750567,whisper_price
2023-09-11,Eswatini,0.0016169333333333335,whisper_price
2023-09-11,Ethiopia,0.03592156666666667,whisper_price
2023-09-11,Fiji,0.04458135,whisper_price
2023-09-11,Finland,0.0536188,whisper_price
2023-09-11,France,0.3374738162131519,whisper_price
2023-09-11,Gabon,0.09455271666666666,whisper_price
2023-09-11,Georgia,0.00712935,whisper_price
2023-09-11,Germany,0.17565991666666667,whisper_price
2023-09-11,Ghana,0.0028817833333333333,whisper_price
2023-09-11,Greece,0.005932283333333333,whisper_price
2023-09-11,Guam,0.019243350000000003,whisper_price
2023-09-11,Guatemala,0.52553825,whisper_price
2023-09-11,Guinea,0.008891566666666666,whisper_price
2023-09-11,Guyana,0.025509783333333334,whisper_price
2023-09-11,Haiti,0.025037650000000005,whisper_price
2023-09-11,Honduras,0.7551272572845805,whisper_price
2023-09-11,Hungary,0.01904583333333333,whisper_price
2023-09-11,India,0.2899756199546485,whisper_price
2023-09-11,Indonesia,1.976067325,whisper_price
2023-09-11,Iran,0.024533133333333335,whisper_price
2023-09-11,Ireland,0.09869075000000001,whisper_price
2023-09-11,Israel,0.7886440580498867,whisper_price
2023-09-11,Italy,1.0978526145124718,whisper_price
2023-09-11,Jamaica,0.009982883333333335,whisper_price
2023-09-11,Japan,0.12999384897959185,whisper_price
2023-09-11,Jordan,0.0029716,whisper_price
